image,caption,label
meme1.jpg,"This is too funny!",Funny
meme2.jpg,"Ugh, not again",Cringe
meme3.jpg,"Just a regular day",Neutral
meme4.jpg,"When the code finally works",Funny
meme5.jpg,"Seriously?",Cringe
meme6.jpg,"Monday morning vibes",Neutral
meme7.jpg,"Me after 5 cups of coffee",Funny
meme8.jpg,"Why always me?",Cringe
meme9.jpg,"Chillin' like a villain",Neutral
meme10.jpg,"Debugging at 3 AM",Funny
meme11.jpg,"Oops, did it again",Cringe
meme12.jpg,"Normal day at the office",Neutral
meme13.jpg,"Can't stop laughing",Funny
meme14.jpg,"Yikes, that's awkward",Cringe
meme15.jpg,"All is calm, all is bright",Neutral
